concept,definition,labels,sources
Sombras Dinámicas,Sombras que cambian en tiempo real en función de la posición y la intensidad de las fuentes de luz. Estas sombras se ajustan y se mueven con los objetos y las fuentes de luz en la escena.,Física en Videojuegos,"[Kenny Erleben, Jon Sporring, Knud Henriksen y Henrik Dohlmann, Física para Videojuegos, CENGAGE Learning, 2011. (Recomendada por UDG)] "
Simulación de Ropa,"Técnica que simula el movimiento y comportamiento de la ropa en personajes y objetos. La ropa puede ondear con el viento, arrugarse y ajustarse de acuerdo con el movimiento del personaje.",Física en Videojuegos,"[Kenny Erleben, Jon Sporring, Knud Henriksen y Henrik Dohlmann, Física para Videojuegos, CENGAGE Learning, 2011. (Recomendada por UDG)] "
LOD (Level Of Detail),"Técnica que permite renderizar objetos con diferentes niveles de detalle dependiendo de su distancia al observador, mejorando la eficiencia del renderizado.",Física en Videojuegos,"[Kenny Erleben, Jon Sporring, Knud Henriksen y Henrik Dohlmann, Física para Videojuegos, CENGAGE Learning, 2011. (Recomendada por UDG)] "
Mapeo de Oclusión,"Técnica que simula las sombras ambientales al determinar qué áreas de una escena están ocluidas y no reciben luz directa, dando una sensación de profundidad y realismo.",Física en Videojuegos,"[Kenny Erleben, Jon Sporring, Knud Henriksen y Henrik Dohlmann, Física para Videojuegos, CENGAGE Learning, 2011. (Recomendada por UDG)] "
Simulación de Fluidos,"Representación de líquidos y gases en movimiento, permitiendo la interacción en tiempo real con objetos y fuerzas en el juego, como agua que fluye o humo que se dispersa.",Física en Videojuegos,"[Kenny Erleben, Jon Sporring, Knud Henriksen y Henrik Dohlmann, Física para Videojuegos, CENGAGE Learning, 2011. (Recomendada por UDG)] "
Física de Partículas,"Sistema que simula pequeñas unidades o partículas que pueden representar una variedad de efectos, como fuego, humo, chispas, y más. Cada partícula puede moverse, cambiar de color y desvanecerse independientemente.",Física en Videojuegos,"[Kenny Erleben, Jon Sporring, Knud Henriksen y Henrik Dohlmann, Física para Videojuegos, CENGAGE Learning, 2011. (Recomendada por UDG)] "
Física de Cabello y Pelaje,"Simulación del movimiento y comportamiento del cabello y pelaje en criaturas y personajes, respondiendo a movimientos, viento y otras fuerzas. Permite animaciones más realistas y naturales.",Física en Videojuegos,"[Kenny Erleben, Jon Sporring, Knud Henriksen y Henrik Dohlmann, Física para Videojuegos, CENGAGE Learning, 2011. (Recomendada por UDG)] "
Simulación de Multitudes,"Representación de un gran número de personajes o entidades que se mueven y actúan de manera autónoma, pero bajo ciertas reglas, como evitar obstáculos y otros miembros de la multitud.",Física en Videojuegos,"[Kenny Erleben, Jon Sporring, Knud Henriksen y Henrik Dohlmann, Física para Videojuegos, CENGAGE Learning, 2011. (Recomendada por UDG)] "
Pathfinding,"Técnica que permite a los personajes y entidades encontrar el camino más corto o eficiente entre dos puntos en un entorno, evitando obstáculos y navegando a través del terreno.",Física en Videojuegos,"[Kenny Erleben, Jon Sporring, Knud Henriksen y Henrik Dohlmann, Física para Videojuegos, CENGAGE Learning, 2011. (Recomendada por UDG)] "
Sistema de Primer Orden,"Sistema dinámico caracterizado por tener una sola constante de tiempo. Su respuesta temporal es proporcional a una exponencial negativa, lo que significa que responde rápidamente a cambios, pero luego se estabiliza lentamente hacia su estado final.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Sistema de Segundo Orden,"Sistema dinámico que posee dos constantes de tiempo y, por lo general, un parámetro de amortiguamiento. Estos sistemas pueden exhibir oscilaciones en su respuesta temporal, y son comunes en aplicaciones como el control de motores y osciladores.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Retroalimentado,Método de control en el cual una parte de la salida se retroalimenta a la entrada para ajustar y corregir la acción del sistema. Es fundamental en sistemas de control automático y se utiliza para estabilizar y mejorar el rendimiento del sistema.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control PID,"Técnica de control que combina acciones proporcional (P), integral (I) y derivativa (D) para corregir el error entre una medida deseada y la salida real del sistema. Es ampliamente utilizado en sistemas de control industrial.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Feedforward,"Método de control que actúa antes de que se presente un disturbio, basándose en la medición o predicción de dicho disturbio. Es opuesto al control retroalimentado y se utiliza cuando se conocen con antelación las perturbaciones.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Estabilidad de Sistemas,"Propiedad de un sistema dinámico que indica que, en respuesta a cualquier entrada o perturbación, el sistema eventualmente regresará a un estado de equilibrio o permanecerá acotado. La estabilidad es esencial en el diseño de sistemas de control para garantizar que no haya respuestas indeseadas o no acotadas.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control On Off,"Técnica de control más simple en la que la salida del controlador es simplemente on (encendido) o off (apagado), sin estados intermedios. Se utiliza en aplicaciones donde solo se requieren dos estados, como termostatos.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Lazo Abierto y Lazo Cerrado,"En control de sistemas, un sistema de lazo abierto es aquel en el que la acción de control no depende de la salida. En contraste, en un sistema de lazo cerrado, la acción de control se basa en la salida. El control de lazo cerrado es retroalimentado, mientras que el control de lazo abierto no lo es.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Respuesta en Frecuencia,Análisis de cómo un sistema responde a diferentes frecuencias de entrada. Se utiliza para caracterizar la capacidad del sistema para atenuar o amplificar señales de diferentes frecuencias.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Controlador Lógico Programable (PLC),"Dispositivo electrónico utilizado para controlar maquinaria o procesos industriales. Es programable y puede ser configurado para diversas aplicaciones, desde control de máquinas simples hasta sistemas de control complejos.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Diagrama de Bode,Representación gráfica que muestra la magnitud y la fase de la respuesta en frecuencia de un sistema en función de la frecuencia. Es una herramienta fundamental en el análisis y diseño de sistemas en el dominio de la frecuencia.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Adaptativo,"Tipo de control que ajusta automáticamente sus parámetros para adaptarse a cambios en el sistema o en el entorno, mejorando el rendimiento en condiciones variables.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Sistema No Lineal,Sistema cuya salida no es proporcional a su entrada. Estos sistemas presentan comportamientos complejos y no pueden ser descritos simplemente por ecuaciones lineales.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Punto de Equilibrio,"Valor o estado en el que las entradas y salidas de un sistema están balanceadas, y el sistema permanece estable sin cambios a lo largo del tiempo. Es esencial determinar este punto en el análisis y diseño de sistemas de control.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Predictivo,Estrategia de control que utiliza modelos y predicciones futuras para generar señales de control. Se basa en predecir la respuesta futura del sistema y actuar en consecuencia. Es útil en sistemas con retrasos o donde se necesita anticipar eventos.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Modelo de Espacio de Estados,"Representación matemática de un sistema físico en términos de variables de estado, entradas y salidas. Es una descripción completa del sistema que facilita su análisis y diseño.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Ganancia,Medida de cuánto amplifica o atenúa un sistema una señal de entrada. Es un parámetro fundamental en el diseño de sistemas de control para asegurar que la respuesta del sistema sea adecuada.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Respuesta Transitoria,"Comportamiento del sistema durante el período inicial después de un cambio o perturbación, antes de que alcance su estado estacionario. Es importante para determinar cuán rápido responde un sistema y si presenta oscilaciones indeseadas.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Robusto,Técnica de diseño de sistemas de control que garantiza un buen rendimiento en presencia de incertidumbres en el modelo o en las condiciones de operación. Busca sistemas que sean insensibles a variaciones y perturbaciones.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Respuesta Estacionaria,Comportamiento de un sistema después de que ha transcurrido un tiempo suficiente desde un cambio o perturbación. Es la respuesta del sistema cuando ha alcanzado un equilibrio o estado constante.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Ley de Control de Mason,Regla matemática utilizada para analizar sistemas de control en lazo cerrado con múltiples lazos de retroalimentación. Facilita el cálculo de la función de transferencia de un sistema.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control por Modo Deslizante,Técnica de control no lineal que utiliza superficies de conmutación en el espacio de estados para llevar el sistema a un comportamiento deseado. Es robusto frente a perturbaciones y modelado inexacto.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Controlador Serie,"Tipo de controlador que combina más de un tipo de acción de control en serie, mejorando la capacidad de control del sistema.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Optimo,"Enfoque de diseño que busca la mejor solución posible de control bajo ciertas restricciones y criterios de rendimiento. Utiliza técnicas matemáticas avanzadas, como el cálculo de variaciones, para encontrar el control que optimiza un determinado índice de rendimiento.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Geométrico,Método de diseño de controladores que se basa en la geometría diferencial y las propiedades estructurales de los sistemas. Se utiliza en sistemas no lineales y en sistemas con restricciones.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control de Modo Mixto,"Estrategia de control que combina características de control digital y analógico. Se utiliza en aplicaciones donde se requiere la precisión del control digital, pero también se beneficia de las características de respuesta rápida del control analógico.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Sistema de Tiempo Discreto,Sistema que opera o se muestrea en intervalos de tiempo discretos en lugar de continuamente. Estos sistemas son esenciales en aplicaciones de control digital y procesamiento de señales.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Observador de Estado,Dispositivo o algoritmo que estima los estados de un sistema basándose en las mediciones de salida y las entradas conocidas. Es útil en sistemas donde no todos los estados son directamente medibles.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Respuesta Impulsional,Respuesta de un sistema a un impulso unitario. Proporciona información sobre la estructura y el comportamiento del sistema y es fundamental para el análisis en el dominio de la frecuencia.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Zona Muerta,"Rango en el que un sistema o controlador no responde a una entrada. Se utiliza en sistemas de control para evitar respuestas a pequeñas perturbaciones o errores, permitiendo que el sistema permanezca en reposo hasta que la entrada exceda un cierto umbral.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Proporcional,Técnica de control en la que la acción correctiva es proporcional al error presente. Es uno de los métodos más básicos y ampliamente utilizados en sistemas de control.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Derivativo,Método de control en el cual la acción correctiva se basa en la tasa de cambio del error. Ayuda a predecir el comportamiento futuro del error y actuar en consecuencia.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Integral,Estrategia de control que actúa en función de la acumulación total de error a lo largo del tiempo. Ayuda a eliminar el error estacionario en sistemas de control.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Estabilidad de Lyapunov,Método matemático utilizado para determinar la estabilidad de sistemas dinámicos. Se basa en la teoría de las funciones de Lyapunov y proporciona criterios para evaluar la estabilidad sin resolver directamente las ecuaciones diferenciales del sistema.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Realimentación de Estados,Técnica de control que utiliza la medición o estimación de todos los estados de un sistema para generar la señal de control. Ofrece un control preciso y es utilizado en sistemas complejos donde es esencial conocer y controlar todos los estados.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Cascade,"Configuración de control en la que se tienen múltiples lazos de control, uno dentro del otro. Cada lazo se encarga de controlar una variable específica, y juntos mejoran la precisión y robustez del sistema.",Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control No Lineal,Técnica de control diseñada específicamente para sistemas que no pueden ser representados adecuadamente por modelos lineales. Aprovecha las características no lineales del sistema para mejorar el rendimiento y la robustez.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control Predictivo Basado en Modelo,Técnica avanzada de control que utiliza un modelo matemático del sistema para predecir su comportamiento futuro y generar acciones de control que optimicen un criterio de rendimiento a lo largo de un horizonte de tiempo futuro.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Control de Ganancia Programada,Método de control que ajusta la ganancia del controlador en función de las condiciones operativas o del comportamiento del sistema. Es útil en sistemas que operan en diferentes condiciones y requieren diferentes configuraciones de control.,Dinámica de Sistemas y Control,"[Katshuhiko Ogata, Dinamica de Sistemas, Prentice Hall, 2011. (Recomendada por UDG)] "
Proceso,Una instancia de un programa en ejecución que contiene su estado actual y la información sobre los recursos en uso.,Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Thread,Un hilo de ejecución más pequeño que un proceso y que puede ser programado y ejecutado de forma independiente. Un proceso puede tener múltiples threads.,Gestión de Procesos y Memoria,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Sincronización de Procesos,"Conjunto de técnicas que aseguran que múltiples procesos o threads puedan trabajar de manera coordinada sin interferir entre sí, evitando condiciones de carrera y asegurando la coherencia de datos.",Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Planificación de Procesos,"Se refiere al conjunto de políticas y mecanismos para controlar el orden de trabajo de los procesos en el sistema, determinando cuándo y cuánto tiempo se le permite a un proceso usar el CPU.",Gestión de Procesos y Memoria,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Multitarea (Sistemas Operativos),Capacidad de un sistema operativo para ejecutar más de un proceso al mismo tiempo. Puede ser de tipo cooperativo (donde los procesos controlan cuándo ceden el control) o preventivo (donde el sistema operativo decide cuándo se interrumpe un proceso).,Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Bloque de Control de Proceso,"Estructura de datos asociada a un proceso que almacena información sobre el estado del proceso, como el contador de programa, registros, estado de la CPU, y la dirección de memoria.",Gestión de Procesos y Memoria,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Swapping,Técnica que mueve procesos entre la memoria principal y el disco para asegurar que la CPU siempre tenga un proceso para ejecutar.,Gestión de Procesos y Memoria,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Semáforo,Herramienta de sincronización que se utiliza para solucionar problemas de condiciones de carrera y garantizar el acceso exclusivo a recursos.,Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Memoria Virtual (Gestión de Memoria),"Técnica que utiliza tanto la memoria principal como el almacenamiento secundario (como un disco duro) para ejecutar un proceso. Permite a un proceso ser ejecutado incluso si no cabe completamente en memoria, y también permite a un sistema operativo usar más memoria que la físicamente disponible.",Gestión de Procesos y Memoria,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Deadlock,Situación en la que dos o más procesos no pueden continuar con su ejecución porque cada uno está esperando un recurso que está siendo detenido por otro proceso.,Gestión de Procesos y Memoria,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Política de Sustitución,Estrategia o algoritmo utilizado por el sistema operativo para decidir cuál página o segmento de memoria será reemplazado o expulsado de la memoria principal cuando se necesita espacio para una nueva página o segmento.,Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Espacio de Dirección,"Rango de direcciones que un proceso puede usar. Incluye memoria para el código ejecutable, datos y pila del proceso.",Gestión de Procesos y Memoria,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Desalojo,"Acción de remover un proceso de la CPU por el sistema operativo, generalmente debido a necesidades de planificación o un evento de interrupción.",Gestión de Procesos y Memoria,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Algoritmo de Planificación,Método utilizado por el sistema operativo para decidir cuál de los procesos en la cola de listos se asignará al CPU.,Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Fragmentación,"Situación en la que el espacio de almacenamiento (memoria o disco) se utiliza de manera ineficiente, dejando porciones no contiguas de espacio que son demasiado pequeñas para ser útiles.",Gestión de Procesos y Memoria,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Tabla de Páginas,Estructura de datos utilizada en sistemas de memoria virtual que mapea números de página a marcos de página.,Gestión de Procesos y Memoria,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Interbloqueo,Situación en la que dos o más procesos esperan indefinidamente por un conjunto de recursos porque cada proceso está esperando la liberación de un recurso actualmente en posesión de otro proceso del conjunto.,Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Almacenamiento Contiguo,Método de gestión de memoria en el que cada proceso se asigna en un bloque único de direcciones físicas contiguas.,Gestión de Procesos y Memoria,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Monitor,"Herramienta de sincronización que encapsula datos compartidos y operaciones para acceder a esos datos en un solo módulo, asegurando que sólo un proceso pueda ejecutar una operación a la vez.",Gestión de Procesos y Memoria,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Cuantum (Quantum),La cantidad de tiempo que un proceso puede ejecutarse en un sistema de planificación de tiempo compartido antes de ser desalojado y puesto en la cola de listos.,Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Planificación por Prioridades,Algoritmo de planificación que asigna a cada proceso una prioridad y selecciona el proceso con la prioridad más alta para ser ejecutado. Las prioridades pueden ser asignadas estáticamente o dinámicamente.,Gestión de Procesos y Memoria,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Condiciones de Carrera,Situación que ocurre cuando varios procesos acceden y manipulan datos compartidos simultáneamente y el resultado final depende del orden particular en que se ejecuta el acceso a esos datos.,Gestión de Procesos y Memoria,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Región Crítica,Sección del código en la que un proceso accede a recursos compartidos y que no debe ser ejecutada simultáneamente por más de un proceso para evitar condiciones de carrera.,Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Desbordamiento de Pila,"Situación que ocurre cuando se agrega más información a la pila de lo que puede contener, lo que puede resultar en que los datos se escriban en áreas adyacentes de memoria y cause errores inesperados en el programa o sistema operativo.",Gestión de Procesos y Memoria,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Asignación Contigua,Método en el que un proceso se asigna un bloque único y contiguo de memoria. Es el enfoque más simple pero puede conducir a problemas de fragmentación.,Gestión de Procesos y Memoria,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Mapeo de Memoria,Técnica utilizada para traducir las direcciones de memoria virtual generadas por un programa a direcciones de memoria física en el hardware.,Gestión de Procesos y Memoria,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Memoria Cache,Tipo de memoria volátil de alta velocidad que proporciona almacenamiento de alta velocidad para un subconjunto de las instrucciones o datos principales de la memoria. Es utilizada para acelerar el acceso a datos e instrucciones que se usan con frecuencia.,Gestión de Procesos y Memoria,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Sistema de Archivos,"Estructura lógica que permite a un sistema operativo organizar, acceder y gestionar los archivos en un dispositivo de almacenamiento.",Sistemas de Archivos y Operaciones de E/S,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Inodo,"Estructura de datos en un sistema de archivos Unix que almacena información básica sobre un archivo regular o directorio, incluyendo sus atributos (como permisos de acceso) y su ubicación en el disco.",Sistemas de Archivos y Operaciones de E/S,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Operaciones de Entrada/Salida,"Acciones realizadas por el sistema operativo para comunicarse con dispositivos externos, como discos duros, teclados, ratones y pantallas. Estas operaciones facilitan la transferencia de datos entre el sistema y los dispositivos.",Sistemas de Archivos y Operaciones de E/S,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Controlador de Dispositivo,Software que permite al sistema operativo interactuar con un dispositivo de hardware específico.,Sistemas de Archivos y Operaciones de E/S,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Bloque de Disco,"La unidad más pequeña de datos que puede ser transferida desde o hacia un dispositivo de almacenamiento, generalmente representada en un conjunto de bytes.",Sistemas de Archivos y Operaciones de E/S,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Directorio Raíz,"El directorio de nivel más alto en una estructura jerárquica de directorios. Contiene subdirectorios y archivos, y sirve como punto de partida para acceder a otros directorios y archivos en el sistema.",Sistemas de Archivos y Operaciones de E/S,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Montaje de un Sistema de Archivos,"Proceso de hacer que un sistema de archivos esté disponible para el sistema operativo, asociando un punto de montaje (como un directorio) con un dispositivo de almacenamiento.",Sistemas de Archivos y Operaciones de E/S,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Buffer de E/S,Área temporal en la memoria donde se almacenan los datos que se están transfiriendo entre dos dispositivos o entre un dispositivo y una aplicación.,Sistemas de Archivos y Operaciones de E/S,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Operaciones Atómicas,"Operaciones que se completan completamente sin ser interrumpidas. En el contexto de los sistemas de archivos, aseguran que los datos se escriban o lean en su totalidad, evitando inconsistencias.",Sistemas de Archivos y Operaciones de E/S,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Caché de Disco,"Espacio de memoria temporal que almacena los datos recientemente leídos de un disco, con el objetivo de acelerar las futuras lecturas al acceder primero al caché antes de acceder al disco.",Sistemas de Archivos y Operaciones de E/S,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Controlador DMA (Direct Memory Access),"Componente que permite a ciertos dispositivos de hardware comunicarse directamente con la memoria principal del sistema, sin la intervención directa del procesador central. Esto es útil para operaciones de E/S de alta velocidad.",Sistemas de Archivos y Operaciones de E/S,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Enlace Simbólico,"Referencia o puntero a un archivo o directorio en un sistema de archivos. A diferencia de un enlace directo, un enlace simbólico es un archivo separado que apunta a otro archivo o directorio.",Sistemas de Archivos y Operaciones de E/S,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Enlace Directo,"Referencia directa a un archivo o directorio en un sistema de archivos. A diferencia de un enlace simbólico, un enlace directo apunta a la misma ubicación de datos que el archivo original.",Sistemas de Archivos y Operaciones de E/S,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Permisos de Archivo,"Configuración de seguridad que determina quién puede leer, escribir o ejecutar un archivo en un sistema de archivos. Los permisos pueden ser asignados a usuarios individuales, grupos de usuarios o a todos los usuarios.",Sistemas de Archivos y Operaciones de E/S,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
